scenario,size,policy,budget,seeds,recall_at_1,recall_at_1_std,recall_at_5,recall_at_5_std,mrr,mrr_std,exact_recall_at_1,exact_recall_at_1_std,exact_recall_at_5,exact_recall_at_5_std,exact_mrr,exact_mrr_std,target_fact_retained,target_fact_retained_std,superseded_fact_at_1,superseded_fact_at_1_std,retrieval_p50_ms,retrieval_p50_ms_std,retrieval_p95_ms,retrieval_p95_ms_std,query_p50_ms,query_p50_ms_std,query_p95_ms,query_p95_ms_std,search_p50_ms,search_p50_ms_std,search_p95_ms,search_p95_ms_std,index_bytes,index_bytes_std,retrieved_tokens,retrieved_tokens_std,selection_seconds,selection_seconds_std,index_build_seconds,index_build_seconds_std
balanced,100,full,1.0,3,0.7592592592592592,0.013094570021973107,1.0,0.0,0.878858024691358,0.005456070842488738,0.4305555555555556,0.011340230290662844,1.0,0.0,0.6878858024691358,0.005373606588419763,1.0,0.0,0.24074074074074073,0.013094570021973107,34.669472166721484,0.021120481605944937,37.03557058321015,0.1355602114051046,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.010878833412183061,0.00043416596147342987,0.011488166592243942,0.0004885274676483056,921645.0,0.0,60.99074074074074,0.20422912037141544,1.4296667056138783e-06,7.363589459399734e-08,0.003755708999960916,0.00036529749462441987
balanced,100,importance,0.25,3,0.21759259259259256,0.062457118348296495,0.2962962962962963,0.05237828008789241,0.25617283950617287,0.05556627125737294,0.13425925925925927,0.051135930635126205,0.2962962962962963,0.05237828008789241,0.2071759259259259,0.05103978573561819,0.2962962962962963,0.05237828008789241,0.0787037037037037,0.028538953717448964,34.66242566666248,0.02075216812199455,37.02846574976775,0.13511674356663425,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.003950333393731853,9.427990709986977e-06,0.004315666653080068,1.2528934821970529e-05,230445.0,0.0,59.819444444444436,1.1355529281697505,7.498633340219385e-05,6.608820837614244e-05,0.002518681666667059,0.0003191119520728264
balanced,100,importance,0.5,3,0.375,0.07856742013183862,0.5,0.04536092116265147,0.4367283950617284,0.060372847660551114,0.27314814814814814,0.07202013512085208,0.5,0.04536092116265147,0.37384259259259256,0.061788647291847854,0.5,0.04536092116265147,0.125,0.045360921162651446,34.664324000004854,0.020685460267978715,37.030316783193484,0.13511700078442906,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.0059143333146494115,2.3570137552617994e-05,0.006425649962693569,0.00011941302612940484,460845.0,0.0,61.35648148148149,0.45436459801427115,2.678666684611623e-05,4.425300281953657e-06,0.0026837693332405856,0.00023267593752244095
balanced,100,importance,0.75,3,0.6111111111111112,0.0856168611523469,0.7962962962962963,0.05237828008789243,0.7029320987654321,0.06672486885533477,0.36574074074074076,0.07378415486346863,0.7962962962962963,0.05237828008789243,0.5613425925925927,0.06796915444263671,0.7962962962962963,0.05237828008789243,0.1851851851851852,0.05359183751291771,34.666598666641825,0.02099289174039517,37.033079033146045,0.13403956744386264,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.008041666660574265,0.00010762132999837263,0.009271999882306167,0.0008531558951435117,691245.0,0.0,61.254629629629626,0.13718085546323147,2.8713000119751086e-05,4.2157468551059125e-06,0.0030700656666340365,0.00018133588729128658
balanced,100,recency,0.25,3,0.20833333333333334,0.058925565098878974,0.2777777777777778,0.07856742013183862,0.24305555555555555,0.0687464926153588,0.20833333333333334,0.058925565098878974,0.2777777777777778,0.07856742013183862,0.24305555555555555,0.0687464926153588,0.2777777777777778,0.07856742013183862,0.06944444444444445,0.019641855032959656,34.66262566674535,0.02068862718120402,37.02837694998683,0.13515776466976243,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.003980333455425959,1.2472140415251636e-05,0.0044216665931647485,3.683370634270974e-05,230445.0,0.0,60.46759259259259,0.6526628477758926,3.788699981062867e-05,1.7623457600347175e-05,0.0027886809998562967,0.00012224933318464792
balanced,100,recency,0.5,3,0.4212962962962963,0.013094570021973107,0.5740740740740741,0.026189140043946214,0.4976851851851852,0.01732248790173122,0.3703703703703704,0.006547285010986554,0.5555555555555556,0.0,0.4606481481481481,0.003780076763554327,0.5740740740740741,0.026189140043946214,0.1527777777777778,0.022680460581325723,34.66454933338051,0.02059709979335667,37.03030146643869,0.13520540143565182,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.0059794999742734944,2.268253801367353e-05,0.0065199832154879305,6.699512851271245e-05,460845.0,0.0,61.53240740740741,0.33875478018382776,2.5240666824781027e-05,4.9227130303736766e-06,0.002588722333257465,0.00025259846963131293
balanced,100,recency,0.75,3,0.5787037037037037,0.026189140043946214,0.7962962962962963,0.026189140043946214,0.6875,0.022680460581325734,0.5462962962962963,0.042933418960628265,0.7962962962962963,0.026189140043946214,0.6689814814814815,0.0302406141084343,0.7962962962962963,0.026189140043946214,0.21759259259259256,0.026189140043946204,34.6665385001567,0.02054660741984688,37.032307800018316,0.1351002108738773,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.00800166662884294,1.6996551964728092e-05,0.00861716665288744,7.204436151383891e-05,691245.0,0.0,61.291666666666664,0.531420179714137,2.3630333392551012e-05,4.3097603834795805e-06,0.0032613083333975132,0.000580869550869483
balanced,100,semantic_dedup,0.25,3,0.26851851851851855,0.03645374015746208,0.3703703703703703,0.05237828008789241,0.3194444444444444,0.044285014976178205,0.17592592592592593,0.02360657182218882,0.18518518518518515,0.026189140043946204,0.18055555555555555,0.02471545891673916,0.3703703703703703,0.05237828008789241,0.10185185185185185,0.01732248790173121,34.662808000121004,0.020693574462366603,37.02842730002279,0.13513658681176274,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.0040290000621704776,3.501675882041485e-05,0.0044850166811253684,5.218972901809117e-05,230445.0,0.0,60.9212962962963,0.09510480826006573,0.0009068683334589878,2.3908350982394863e-05,0.002363732666708529,0.00012049295358051148
balanced,100,semantic_dedup,0.5,3,0.5370370370370371,0.032736425054932794,0.7037037037037037,0.026189140043946214,0.6203703703703703,0.025567965317563106,0.2916666666666667,0.030003429159295644,0.35185185185185186,0.026189140043946214,0.3217592592592593,0.025567965317563106,0.7037037037037037,0.026189140043946214,0.24074074074074073,0.05594002765553041,34.66455283349509,0.02063395093829125,37.030350950029366,0.1350742165018788,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.005961166607448831,7.961724939554313e-06,0.006432000047122226,8.164879464032183e-06,460845.0,0.0,61.166666666666664,0.4762896722078417,0.0009028416666296835,2.2911888486943365e-05,0.0029251456664193634,5.0309061899030385e-05
balanced,100,semantic_dedup,0.75,3,0.675925925925926,0.04583099507690585,0.8703703703703703,0.026189140043946166,0.7731481481481483,0.03601006756042606,0.5092592592592592,0.051135930635126205,0.7037037037037037,0.026189140043946214,0.60570987654321,0.03879569472214983,0.8703703703703703,0.026189140043946166,0.28703703703703703,0.062457118348296495,34.666618333403676,0.020556676777195314,37.03245293322652,0.13523858810273368,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.008071833159798794,0.00010265026811745398,0.008620499799386986,0.00016225022674623964,691245.0,0.0,61.06944444444445,0.17822570884185135,0.0009031653333598418,2.2614886740142513e-05,0.0035795110000738837,0.00041737794294836454
